iteration,l0,l25,l50,l75,l90,l99,l100
40,160.833,701.528,857.788,1108.743,1276.861,1755.885,1794.195
40,17.334,425.458,775.802,987.296,1170.352,1514.672,1560.536
40,22.089,550.928,723.336,868.857,1041.215,1373.56,1459.286
40,25.116,499.857,724.051,901.596,1042.352,1324.7,1370.455
40,30.613,513.728,744.597,948.876,1124.514,1360.325,1373.854
40,26.01,481.005,741.867,961.183,1168.048,1414.503,1489.93
40,21.596,498.916,764.945,979.847,1095.94,1230.604,1277.484
40,48.505,507.886,748.116,917.193,1047.927,1221.366,1324.659
40,20.058,528.911,731.038,846.838,974.183,1224.688,1358.408
40,23.384,548.884,801.983,1009.976,1211.001,1448.784,1538.319
41,30.41,274.3,670.275,1127.181,1498.503,2127.062,2268.345
41,23.193,511.752,802.745,986.403,1119.78,1421.508,1582.294
41,29.04,517.733,723.258,954.934,1076.959,1338.553,1462.033
41,28.191,498.638,751.698,891.13,1063.878,1364.516,1476.266
41,44.902,472.212,712.4,882.608,1063.062,1456.558,1521.92
41,62.463,429.518,660.651,870.438,1124.088,1437.603,1540.667
41,29.932,503.638,732.829,865.63,1010.377,1256.158,2209.248
41,22.693,511.822,674.403,919.834,1114.033,1623.133,1647.14
41,25.499,320.125,777.043,1073.517,1313.087,1667.766,1730.248
41,31.651,519.63,699.663,849.868,1102.322,1506.433,1542.721
42,210.081,528.657,839.447,1055.8,1205.014,1539.406,1625.092
42,26.123,493.55,743.615,930.192,1083.784,1262.098,1348.315
42,18.135,508.763,688.764,864.41,1041.136,1447.62,1470.546
42,29.223,487.671,746.739,909.984,1049.521,1247.419,1320.834
42,10.103,503.046,767.178,986.212,1195.608,1711.674,1843.109
42,17.22,516.543,740.049,883.391,1062.939,1253.006,1275.954
42,15.051,516.897,782.447,950.815,1085.026,1420.498,1526.17
42,15.078,436.195,767.371,996.455,1145.097,1339.094,1452.66
